       42	2019-01-30 16:21:19	2	0	1	0
       40	2019-01-30 16:21:39	2	0	1	0
       86	2019-01-30 16:31:56	2	0	1	0
       63	2019-01-30 16:32:13	2	3	1	0
       63	2019-01-30 16:32:56	2	1	1	0
       46	2019-01-30 16:49:59	2	0	1	0
       96	2019-01-30 16:50:31	2	0	1	0
       61	2019-01-30 16:59:43	2	1	1	0
        9	2019-01-30 16:59:50	2	1	1	0
       30	2019-01-30 17:09:42	2	4	1	0
       36	2019-01-30 17:18:52	2	1	1	0
       25	2019-01-30 17:19:04	2	0	1	0
       48	2019-01-30 17:22:18	2	2	1	0
       35	2019-01-30 17:22:48	2	0	1	0
       69	2019-01-30 17:24:11	2	1	1	0
       85	2019-01-30 17:29:38	2	0	0	0
       85	2019-01-30 17:29:46	2	0	0	0
       21	1971--10--29 -23:-28:-17	2	0	1	0
       44	1971--10--29 -23:-49:-25	2	0	1	0
       45	1971--10--29 -23:-49:-22	2	0	1	0
       91	1971--10--29 -23:-12:-47	2	1	1	0
       33	1971--10--29 -23:-50:-12	2	0	1	0
       33	2019-01-30 21:49:36	2	0	1	0
       77	2019-01-31 07:37:19	2	0	1	0
       30	2019-01-31 07:37:40	2	0	1	0
       25	2019-01-31 07:43:43	2	0	1	0
       57	2019-01-31 07:45:01	2	2	1	0
       51	2019-01-31 07:46:12	2	0	1	0
       39	2019-01-31 07:46:18	2	0	1	0
       46	2019-01-31 07:46:45	2	0	1	0
       91	2019-01-31 07:47:23	2	0	1	0
       85	2019-01-31 07:47:56	2	0	0	0
       64	2019-01-31 07:49:22	2	0	1	0
       61	2019-01-31 07:50:01	2	2	1	0
       61	2019-01-31 07:50:15	2	0	1	0
       96	2019-01-31 07:50:32	2	0	1	0
       66	2019-01-31 07:51:12	2	0	1	0
       48	2019-01-31 07:53:41	2	0	1	0
       21	2019-01-31 07:56:04	2	0	1	0
       45	2019-01-31 07:59:35	2	0	1	0
       15	2019-01-31 08:06:55	2	0	1	0
       36	2019-01-31 08:15:59	2	0	1	0
      130	2019-01-31 08:23:44	2	2	1	0
       40	2019-01-31 08:34:04	2	0	1	0
       33	2019-01-31 08:56:26	2	0	1	0
       40	2019-01-31 12:15:37	2	0	1	0
       63	2019-01-31 13:20:47	2	0	1	0
       25	2019-01-31 16:44:43	2	0	1	0
       96	2019-01-31 17:01:31	2	2	1	0
       46	2019-01-31 17:01:51	2	0	1	0
       46	2019-01-31 17:01:54	2	0	1	0
       64	2019-01-31 17:07:16	2	0	1	0
       63	2019-01-31 17:22:58	2	0	1	0
       69	2019-01-31 17:24:10	2	1	1	0
       63	2019-01-31 17:24:18	2	1	1	0
       35	2019-01-31 17:24:20	2	1	1	0
       85	2019-01-31 17:24:23	2	1	0	0
       21	2019-01-31 17:24:29	2	1	1	0
       21	2019-01-31 17:24:36	2	0	1	0
